slug,name,sort_order
general-public-services,1. General public services,1
defence,2. Defence,2
defence-1,2. Defence(1),2
public-order-and-safety,3. Public order and safety,3
economic-affairs,4. Economic affairs,4
environment-protection,5. Environment protection,5
housing-and-community-amenities,6. Housing and community amenities,6
health,7. Health,7
recreation-culture-and-religion,"8. Recreation, culture and religion",8
education-includes-training,9. Education (includes training),9
education,9. Education,9
education-2,9. Education(2),9
education-3,9. Education(3),9
education-5,9. Education (5),9
social-protection,10. Social protection,10
