fye,region_slug,region_name,revenue_bn,expenditure_identifiable_bn,net_balance_bn,revenue_per_head_gbp,expenditure_per_head_gbp,net_balance_per_head_gbp
2024-25,north-east,North East,32.9,38.9,6.0,11977.0,19071.0,7094.0
2024-25,north-west,North West,105.7,107.0,1.4,13722.0,18829.0,5107.0
2024-25,yorkshire-and-the-humber,Yorkshire and The Humber,76.1,72.5,-3.6,13484.0,17705.0,4221.0
2024-25,east-midlands,East Midlands,67.0,61.6,-5.4,13287.0,16808.0,3521.0
2024-25,west-midlands,West Midlands,81.5,81.4,-0.1,13237.0,18225.0,4988.0
2024-25,east-of-england,East of England,107.1,80.9,-26.2,16349.0,16971.0,621.0
2024-25,london,London,239.9,138.3,-101.6,26454.0,21017.0,-5438.0
2024-25,south-east,South East,181.2,116.0,-65.2,18855.0,17162.0,-1692.0
2024-25,south-west,South West,89.4,73.2,-16.2,15248.0,17684.0,2436.0
2024-25,england,England,980.8,769.9,-210.9,16795.0,18235.0,1440.0
2024-25,wales,Wales,41.5,48.3,6.8,13083.0,20168.0,7085.0
2024-25,scotland,Scotland,87.7,86.3,-1.4,15880.0,21117.0,5238.0
2024-25,northern-ireland,Northern Ireland,24.4,31.1,6.7,12714.0,20866.0,8152.0
