fye,function_slug,function_name,spend_bn,pct_of_tme
2024-25,general-public-services,1. General public services,159.7,12.4
2024-25,defence,2. Defence,63.7,4.9
2024-25,public-order-and-safety,3. Public order and safety,51.7,4.0
2024-25,economic-affairs,4. Economic affairs,88.5,6.9
2024-25,environment-protection,5. Environment protection,17.1,1.3
2024-25,housing-and-community-amenities,6. Housing and community amenities,21.9,1.7
2024-25,health,7. Health,242.5,18.8
2024-25,recreation-culture-and-religion,"8. Recreation, culture and religion",15.0,1.2
2024-25,education-includes-training,9. Education (includes training),122.7,9.5
2024-25,social-protection,10. Social protection,386.5,30.0
